URL,HTTP Status Code,Response Time (s),Crawl Timestamp,HTML Title,Canonical URL,robots Directive,Content Type,Page Size (Raw/Compressed Bytes),Page Size (Uncompressed Bytes)
https://a-z-animals.com/animals/agama-lizard/,200,0.093,2025-10-11 19:37:28.676548+00:00,Agama Lizard Animal Facts - A-Z Animals,https://a-z-animals.com/animals/agama-lizard/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,63027,274727
https://a-z-animals.com/animals/agkistrodon-contortrix/,200,0.168,2025-10-11 19:37:30.848138+00:00,Agkistrodon Contortrix Animal Facts - Agkistrodon contortrix - A-Z Animals,https://a-z-animals.com/animals/agkistrodon-contortrix/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,59934,258800
https://a-z-animals.com/animals/agouti/,200,0.126,2025-10-11 19:37:32.977969+00:00,Agouti Animal Facts - A-Z Animals,https://a-z-animals.com/animals/agouti/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,63155,272872
https://a-z-animals.com/animals/aidi/,200,0.106,2025-10-11 19:37:35.089155+00:00,Aidi Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/aidi/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,70471,327202
https://a-z-animals.com/animals/ainu/,200,0.198,2025-10-11 19:37:37.291578+00:00,Ainu Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/ainu/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,70454,329600
https://a-z-animals.com/animals/airedale-terrier/,200,0.103,2025-10-11 19:37:39.399285+00:00,Airedale Terrier Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/airedale-terrier/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,68361,321840
https://a-z-animals.com/animals/airedoodle/,200,0.116,2025-10-11 19:37:41.518826+00:00,Airedoodle Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/airedoodle/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,66781,308455
https://a-z-animals.com/animals/akbash/,200,0.117,2025-10-11 19:37:43.641409+00:00,Akbash Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/akbash/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,70707,331134
https://a-z-animals.com/animals/akita/,200,0.117,2025-10-11 19:37:45.761615+00:00,Akita Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/akita/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,71500,330807
https://a-z-animals.com/animals/akita-shepherd/,200,0.108,2025-10-11 19:37:47.872968+00:00,Akita Shepherd Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/akita-shepherd/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,69082,319052
https://a-z-animals.com/animals/alabai/,200,0.139,2025-10-11 19:37:50.016638+00:00,Alabai (Central Asian Shepherd) Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/alabai/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,67319,316679
